Flight_Date,AircraftType,REG,OUT_FLIGHT,OUT_DATE_TIME,TOWN_TO,COUNTRY,Airline_Name,Lat_to,Lon_to,TOWN_FROM,Lat_from,Lon_from
2022-05-12 14:28:00,32A,73756,SU 1368,2022-05-12 14:28:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-14 14:38:00,32A,73758,SU 1368,2022-05-14 14:38:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-13 14:36:00,32A,73179,SU 1368,2022-05-13 14:36:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-13 08:47:00,32A,73758,SU 1366,2022-05-13 08:47:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-13 12:32:00,32A,73754,SU 1364,2022-05-13 12:32:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-14 08:45:00,32A,73754,SU 1366,2022-05-14 08:45:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-14 12:34:00,32A,73173,SU 1364,2022-05-14 12:34:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-16 08:55:00,32A,73774,SU 1366,2022-05-16 08:55:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-15 12:33:00,32A,73758,SU 1364,2022-05-15 12:33:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-15 08:51:00,32A,73774,SU 1366,2022-05-15 08:51:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-15 14:31:00,32A,73179,SU 1368,2022-05-15 14:31:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-16 14:37:00,32A,73775,SU 1368,2022-05-16 14:37:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-16 12:36:00,32A,73756,SU 1364,2022-05-16 12:36:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-17 14:39:00,32A,73763,SU 1368,2022-05-17 14:39:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-17 12:35:00,32A,73756,SU 1364,2022-05-17 12:35:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-18 08:47:00,32A,73179,SU 1366,2022-05-18 08:47:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-17 08:49:00,32A,73766,SU 1366,2022-05-17 08:49:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-18 14:29:00,32A,73770,SU 1368,2022-05-18 14:29:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-18 12:35:00,32A,73764,SU 1364,2022-05-18 12:35:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-19 14:39:00,32A,73753,SU 1368,2022-05-19 14:39:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-19 12:31:00,32A,73779,SU 1364,2022-05-19 12:31:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-19 08:49:00,32A,73776,SU 1366,2022-05-19 08:49:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-20 08:51:00,32A,73766,SU 1366,2022-05-20 08:51:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-20 14:38:00,32A,73768,SU 1368,2022-05-20 14:38:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-20 12:32:00,32A,73770,SU 1364,2022-05-20 12:32:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-21 14:40:00,32A,73761,SU 1368,2022-05-21 14:40:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-21 08:49:00,32A,73758,SU 1366,2022-05-21 08:49:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-21 12:38:00,32A,73759,SU 1364,2022-05-21 12:38:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
