EntryFlight_Time,TOWN_TO,Airline_Name,Lat_from,Lat_to,Lon_from,Lon_to,count
2022-05-04 00:24:00,Санкт-Петербург,Aeroflot,55.755864,59.938955,37.617698,30.315644,66
2022-05-04 00:34:00,Ханты Мансийск,Aeroflot,55.755864,61.003184,37.617698,69.018911,93
2022-05-04 00:36:00,Оренбург,Aeroflot,55.755864,51.768205,37.617698,55.096964,73
2022-05-04 00:43:00,Красноярск,Aeroflot,55.755864,56.010569,37.617698,92.852572,68
2022-05-04 00:50:00,Новосибирск,Aeroflot,55.755864,55.030204,37.617698,82.92043,76
2022-05-04 00:50:00,Новосибирск,Nordavia,55.755864,55.030204,37.617698,82.92043,157
2022-05-04 00:57:00,Анталия,Pegas Fly,55.755864,36.887099,37.617698,30.703249,392
2022-05-04 01:10:00,Тюмень,Aeroflot,55.755864,57.152985,37.617698,65.541227,51
2022-05-04 01:17:00,Иркутск,Aeroflot,55.755864,52.289588,37.617698,104.280606,64
2022-05-04 01:19:00,Ош,Aeroflot,55.755864,40.517525,37.617698,72.80557,113
2022-05-04 01:21:00,Сургут,Aeroflot,55.755864,61.241778,37.617698,73.393032,97
2022-05-04 01:29:00,Сочи,Aeroflot,55.755864,43.585472,37.617698,39.723098,91
2022-05-04 01:39:00,Екатеринбург,Aeroflot,55.755864,56.838011,37.617698,60.597474,58
2022-05-04 01:58:00,Новый Уренгой,Aeroflot,55.755864,66.084539,37.617698,76.680956,30
2022-05-04 02:39:00,Анталия,Corendon Airlines,55.755864,36.887099,37.617698,30.703249,5
2022-05-04 05:39:00,Сочи,Aeroflot,55.755864,43.585472,37.617698,39.723098,1
2022-05-04 05:49:00,Санкт-Петербург,Aeroflot,55.755864,59.938955,37.617698,30.315644,1
2022-05-04 06:24:00,Калининград,Aeroflot,55.755864,54.710162,37.617698,20.510137,7
2022-05-04 06:53:00,Мурманск,Aeroflot,55.755864,68.970663,37.617698,33.074918,3
2022-05-04 07:29:00,Мин.Воды,Aeroflot,55.755864,44.208806,37.617698,43.13834,1
2022-05-04 07:49:00,Махачкала,Aeroflot,55.755864,42.9831,37.617698,47.504745,1
2022-05-04 07:50:00,Архангельск,Aeroflot,55.755864,64.539911,37.617698,40.515762,1
2022-05-04 07:53:00,Самара,Aeroflot,55.755864,53.195878,37.617698,50.100202,1
2022-05-04 08:26:00,Минск,Aeroflot,55.755864,53.902284,37.617698,27.561831,1
2022-05-04 08:30:00,Сыктывкар,Aeroflot,55.755864,61.668797,37.617698,50.836497,1
2022-05-05 00:03:00,Абакан,Aeroflot,55.755864,53.721152,37.617698,91.442396,41
2022-05-05 00:14:00,Оренбург,Aeroflot,55.755864,51.768205,37.617698,55.096964,75
2022-05-05 00:25:00,Магнитогорск,Aeroflot,55.755864,53.407163,37.617698,58.980291,86
2022-05-05 00:43:00,Ханты Мансийск,Aeroflot,55.755864,61.003184,37.617698,69.018911,101
2022-05-05 00:45:00,Новосибирск,Aeroflot,55.755864,55.030204,37.617698,82.92043,100
